Name	rgb1	rgb2	rgb3	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
'singles-BM0828-MPP-frozen-151103-54'	0.274509804	0.62745098	0.250980392	-0.391181294	4.484679345	0.397327914	0.777895839	-0.11765206	0.287405492	0.534045701	-0.306099222	-0.049545736	0.159897218
'singles-BM0828-MPP-frozen-151103-55'	0.274509804	0.62745098	0.250980392	3.227104198	1.304285057	1.43985917	-0.494925197	-0.679827894	0.546910854	0.03607107	0.084109689	0.075358567	-0.01531573
'singles-BM0828-MPP-frozen-151103-56'	0.274509804	0.62745098	0.250980392	-4.703103772	4.624836256	-1.836637285	-0.319367278	-0.04406224	-0.205970494	-0.624600969	-0.035435538	0.761637112	-0.175691101
'singles-BM0828-MPP-frozen-151103-57'	0.274509804	0.62745098	0.250980392	2.02140448	1.650584064	1.291062097	-1.082946857	-0.912730977	0.556780123	-0.22505284	-0.20776068	0.514575393	0.011148014
'singles-BM0828-MPP-frozen-151103-59'	0.274509804	0.62745098	0.250980392	2.544747698	1.903745434	2.216213328	-0.67559925	-0.987158061	0.157450609	0.189091932	0.035291701	-0.323994316	-0.009857156
'singles-BM0828-MPP-frozen-151103-64'	0.274509804	0.62745098	0.250980392	3.04181149	1.886094064	-0.784241931	-0.413529013	-0.221481931	0.323131552	-0.047268557	-0.212434253	0.307220203	-0.10392304
'singles-BM0828-MPP-frozen-151103-65'	0.274509804	0.62745098	0.250980392	2.836910922	2.38488422	1.3381306	-0.402084632	-0.602439855	0.452856804	0.109128775	0.000666703	0.085879086	-0.008002251
'singles-BM0828-MPP-frozen-151103-66'	0.274509804	0.62745098	0.250980392	2.576003735	1.828792362	1.420217611	-0.54690962	-0.514496103	0.731473471	0.120187263	0.145846186	-0.0155583	0.106321172
'singles-BM0828-MPP-frozen-151103-67'	0.274509804	0.62745098	0.250980392	2.107598105	1.925669022	2.714023526	0.062384115	-1.252565725	-0.032966505	0.300547135	-0.377783761	0.195350602	-0.162964729
'singles-BM0828-MPP-frozen-151103-68'	0.274509804	0.62745098	0.250980392	1.707697087	3.154266254	0.181751584	0.004770629	-0.192836508	0.685425433	0.191492663	-0.023370148	0.308851077	0.005555432
'singles-BM0828-MPP-frozen-151103-69'	0.274509804	0.62745098	0.250980392	3.861623315	0.870370671	1.08622252	-0.17188497	0.079658582	0.032392824	-0.297579829	-0.254954208	0.130100462	-0.152399149
'singles-BM0828-MPP-frozen-151103-71'	0.274509804	0.62745098	0.250980392	3.718221174	1.633498986	2.015943262	0.260545254	-0.448983324	-0.364240335	0.233027075	-0.237055137	-0.287928967	-0.075051933
'singles-BM0828-MPP-frozen-151103-73'	0.274509804	0.62745098	0.250980392	2.392119053	1.767362289	1.814833889	-0.455658363	-0.294802471	0.572415143	0.200018904	0.387511559	-0.260440962	-0.025079245
'singles-BM0828-MPP-frozen-151103-75'	0.274509804	0.62745098	0.250980392	1.763819509	2.530311058	2.224349786	-0.51642162	-1.118746247	0.448230253	0.311578782	0.177294132	-0.076568995	0.106255819
'singles-BM0828-MPP-frozen-151103-78'	0.274509804	0.62745098	0.250980392	-3.469184531	4.315756821	-0.995795673	0.217693767	0.495114141	0.263932018	-0.000794741	0.892498047	-0.120861493	-0.11848539
'singles-BM0828-MPP-frozen-151103-80'	0.274509804	0.62745098	0.250980392	3.007920288	0.644376631	2.616521888	-0.429040813	-0.520026533	-0.239702734	-0.113092693	0.184489606	-0.453442324	0.048882424
'singles-BM0828-MPP-frozen-151103-83'	0.274509804	0.62745098	0.250980392	-2.340328697	4.67297377	-0.511689678	1.207406103	0.142630243	-0.540633431	0.529420072	-0.258840526	-0.53036839	0.08741812
